"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"1_pcg_176000","Biens et prestations de services échanges entre établissements (charges)","176000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_177000","Biens et prestations de services échanges entre établissements (produits)","177000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_18","Autres passifs non courants","18","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_185000","écarts de conversion","185000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_188000","Autres","188000","account.data_account_type_equity","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_211000","Investissements de recherche et de développement","211000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_212000","Concessions de marques, brevets, licences, marques, procédés et valeurs similaires","212000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_213000","Logiciels","213000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_214000","Fonds commercial","214000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_216000","Droit au bail","216000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_218000","Autres immobilisations incorporelles","218000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_221300","Terrains nus","221300","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_221400","Terrains amenages","221400","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_221500","Terrains bâtis","221500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_221600","Agencements et aménagements des terrains","221600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_222100","Bâtiments","222100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_222500","Installations générales, agencements et aménagements des constructions","222500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_222600","Ouvrages d'infrastructure","222600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_222700","Constructions sur sol d'autrui","222700","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_223100","Installations techniques","223100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_223200","Climatiseurs","223200","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_223300","Matériels informatique","223300","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_223400","Matériel industriel","223400","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_223500","Outillage industriel","223500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_223600","Équipement de communication","223600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_223700","Agencements et aménagements du matériel et outillage industriels","223700","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_223800","Immobilisations Divers Meuble","223800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_223801","Meuble appartement","223801","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_223802","Meubles Usine","223802","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_224100","Matériel de transport de biens","224100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_224400","Matériel de transport de personnes","224400","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_228100","Installations générales, agencements et aménagements divers","228100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_228200","Équipement de bureau","228200","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_228300","Équipements électroménager","228300","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_228600","Emballages récupérables identifiables","228600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_231000","Immobilisations incorporelles en cours","231000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_232000","Immobilisations corporelles en cours","232000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_237000","Avances et acomptes verses sur immobilisations incorporelles","237000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_238000","Avances et acomptes verses sur commandes d'immobilisations corporelles","238000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_240000","Immobilisations a statut juridique particulier","240000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_251100","Actions","251100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_251800","Autres titres","251800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_256000","Autres formes de participation","256000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_257100","Créances rattachées a des participations (groupe)","257100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_257400","Créances rattachées a des participations (hors groupe)","257400","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_257500","Versements représentatifs d'apports non capitalises (appel de fonds)","257500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_257600","Avances consolidables","257600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_257700","Autres créances rattachées a des participations","257700","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_258000","Créances rattachées a des sociétés en participation","258000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_259000","Versements restant a effectuer sur titres de participation non libérés","259000","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_261100","Actions","261100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_261800","Autres titres","261800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_262100","Obligations","262100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_262200","Bons","262200","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_264100","Prêts participatifs","264100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_264200","Prêts aux associes","264200","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_264300","Prêts au personnel","264300","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_264500","Prêts assortis de sûretés (a subdiviser)","264500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_264800","Autres prêts","264800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_265100","Dépôts","265100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_265500","Cautionnements","265500","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_265600","Dépôts bancaires non courants","265600","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_265800","Autres","265800","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
"1_pcg_266100","Créances immobilisées","266100","account.data_account_type_fixed_assets","l10n_tn.l10n_tn_pcg_chart_template","False"
